use case,size,heap,user,collector,average_latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,throughput,error_rate,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,last_one_minutes_la,last_five_minutes_la,last_fifteen_minutes_la
Echo,1024,1g,1000,UseG1GC,55.81838689,0,4121,116,192.95,425.98,14443.98191,1.035907735,1024,NA,n.a.,94.971,609.257,0.00621,0.00158,0.04813,0.00621,n.a.,27.02,0,27.02,99.25,0,4353,44194.376,98155.627,n.a.,11.79,9.36,8.6
Echo,1024,1g,1000,UseConcMarkSweepGC,49.75044249,0,2558,111,155.95,376.98,15687.50849,0.7924524417,990.75,NA,n.a.,337.363,265.987,0.00573,0.00181,0.09685,0.00573,n.a.,62.56,0,62.56,98.26,0,10921,48416.918,46429.883,n.a.,9.84,11.31,12
Echo,1024,1g,500,UseSerialGC,28.04264846,0,670,44,53,169,17665.01288,0,989.875,13.06,88.447,61.396,273.056,0.00598,0.00503,0.09388,0.00598,0.0641,71.99,0.13,71.86,98,2,12027,54728.666,45698.024,1379.785,17.61,17.94,17.95
Echo,1024,1g,500,UseParallelGC,26.38874636,0,530,40,49,125,18724.31547,0,1022.5,12.975,557,130.825,336.846,0.0038,0.00311,0.08723,0.00379,0.05828,38.79,0.12,38.67,98.92,2,10199,57261.36,88829.834,9557.498,18.43,17.22,17.1
Echo,1024,1g,500,UseG1GC,30.21740224,0,609,46,55,142,16421.45268,0,1024,NA,n.a.,67.837,610.317,0.00551,0.00126,0.06551,0.00551,n.a.,27.71,0,27.71,99.23,0,5027,51124.334,110717.201,n.a.,19.44,19.21,19.43
Echo,1024,1g,500,UseConcMarkSweepGC,27.16716169,0,599,51,56,72,18189.88856,0,990.75,NA,n.a.,304.424,266.082,0.00499,0.00134,0.07483,0.00499,n.a.,62.66,0,62.66,98.26,0,12552,55670.344,53299.913,n.a.,13.57,15.35,15.86
Echo,1024,1g,200,UseSerialGC,11.40381002,0,324,19,32,98.97,17410.64375,0,989.875,18.364,84.787,55.793,273.036,0.00468,0.00408,0.09274,0.00467,0.05786,55.13,0.12,55.01,98.47,2,11768,53558.605,58404.202,1465.305,11.25,11.54,12.08
Echo,1024,1g,200,UseParallelGC,11.23469987,0,379,20,28,40,17664.05295,0,1023,12.904,648,68.793,337.8,0.00298,0.00258,0.08711,0.00297,0.05812,28.73,0.12,28.61,99.2,2,9632,54232.02,113717.634,10.888,11.99,11.2,11.09
Echo,1024,1g,200,UseG1GC,12.52192686,0,372,20,25,68.99,15880.69926,0,1024,NA,n.a.,48.952,610.892,0.00433,0.00169,0.05159,0.00433,n.a.,21.18,0,21.18,99.41,0,4894,49820.141,141170.979,n.a.,13.58,14.35,14.16
Echo,1024,1g,200,UseConcMarkSweepGC,12.05955491,0,391,21,31,69,16476.72244,0,990.75,NA,n.a.,48.126,266.2,0.00507,0.00447,0.06741,0.00507,n.a.,59.11,0,59.11,98.36,0,11653,51702.221,52480.837,n.a.,9.69,10.66,11.55
Echo,1024,1g,100,UseSerialGC,5.94223391,0,233,10,14,45.99,16672.43871,0,989.875,22.215,212.887,48.837,273.059,0.00389,0.00343,0.08994,0.00387,0.07566,44.09,0.15,43.94,98.78,2,11341,51624.164,70471.5,2813.916,7.88,8.56,8.88
Echo,1024,1g,100,UseParallelGC,5.783150146,0,214,10,13,23,17134.89419,0,1023,13.212,857.5,49.019,338.679,0.00246,0.00214,0.08945,0.00245,0.06573,22.9,0.13,22.76,99.36,2,9302,52505.31,138387.399,12.739,7.45,8,8.2
Echo,1024,1g,100,UseG1GC,6.517497894,0,220,10,15,34,15235.63908,0,1024,NA,n.a.,35.961,611.333,0.00363,0.00148,0.04072,0.00363,n.a.,16.88,0,16.88,99.53,0,4643,47304.348,168185.431,n.a.,8.1,9.06,9.34
